12 12
1 12
11 11
16 7
5 6
15 15
6 3
17 4
4 10
12 13
17 5
18 19
14 16
16 12
8 3
6 18
15 1
3 12
5 13
13 1
12 7
13 18
18 16
12 4
13 3
10 19
9 1
1 1
12 4
4 12
3 16
1 12
19 12
14 7
3 11
5 2
9 13
8 13
2 18
11 14
4 4
5 1
5 10
7 9
18 3
10 2
4 6
19 1
4 3
4 18
17 19
1 13
10 6
13 2
17 2
3 16
9 14
5 4
5 8
1 1
14 13
19 1
9 5
14 1
16 16
19 17
6 7
7 16
16 13
14 1
4 5
16 19
17 14
18 14
12 7
3 5
11 13
2 2
19 17
13 5
12 13
14 15
14 4
3 16
5 16
17 7
7 3
15 7
4 8
3 12
1 15
8 1
15 2
11 10
2 2
7 10
14 5
16 16
9 11
11 17
