18 4
16 3
6 4
7 18
18 13
9 5
13 18
18 9
12 17
17 18
18 12
6 12
15 9
6 18
8 18
12 6
10 7
11 7
14 16
7 5
3 9
11 19
14 19
9 7
10 11
14 11
8 7
11 19
4 7
11 12
13 8
12 15
6 3
14 5
11 15
5 11
8 17
17 19
5 15
11 15
7 5
10 17
10 14
3 7
17 3
4 13
6 8
8 6
14 5
4 18
7 9
4 3
1 6
1 7
19 11
19 13
4 3
14 5
17 1
19 17
14 10
16 11
1 7
12 9
9 2
6 13
16 9
17 4
5 5
3 6
16 14
8 9
6 2
12 17
16 18
1 6
14 6
2 14
9 11
18 7
16 12
11 5
15 15
15 9
17 18
17 13
3 4
16 1
9 10
14 10
11 2
16 8
17 5
12 8
4 17
10 5
1 8
7 5
16 12
18 13
